epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
21,514.69,0.91254,1.37008,1.20069,0.00838,0.76521,0.59423,0.4617,0.48958,0.35804,0.59047,0.46443,0.4767,0.34103,1.19362,2.00277,2.10934,0.01619,0,0.000413168,0.000413168,0.000413168
22,538.29,0.9066,1.34207,1.19281,0.0079,0.76713,0.59692,0.47288,0.49202,0.3781,0.61214,0.45151,0.48528,0.36047,1.14479,2.04013,2.08912,0.01573,0,0.000410026,0.000410026,0.000410026
23,561.931,0.87546,1.33271,1.14331,0.00787,0.73444,0.57982,0.46301,0.47484,0.35891,0.58735,0.46147,0.47608,0.34621,1.14054,2.07548,2.167,0.01542,0,0.000406885,0.000406885,0.000406885
24,585.618,0.89512,1.30958,1.11866,0.00757,0.72469,0.55833,0.47802,0.47335,0.35813,0.55741,0.46234,0.46871,0.3343,1.15171,2.18629,2.24686,0.01547,0,0.000403743,0.000403743,0.000403743
25,609.355,0.89636,1.29196,1.10283,0.00776,0.70671,0.58108,0.47246,0.50749,0.38953,0.66427,0.42009,0.50216,0.37421,1.11936,2.05575,2.01763,0.01507,0,0.000400602,0.000400602,0.000400602
26,633.041,0.89636,1.31498,1.10167,0.00803,0.70018,0.67706,0.40272,0.46921,0.35436,0.68504,0.40873,0.47158,0.34171,1.16446,2.11533,2.1531,0.01625,0,0.00039746,0.00039746,0.00039746
27,656.825,0.85656,1.30911,1.07711,0.00777,0.67853,0.62855,0.46876,0.4859,0.36821,0.61812,0.47695,0.48698,0.35759,1.15536,2.08504,2.19112,0.01523,0,0.000394318,0.000394318,0.000394318
28,680.469,0.87586,1.25815,1.06791,0.00734,0.665,0.59428,0.45047,0.48346,0.35355,0.62522,0.42637,0.47472,0.34184,1.12674,2.1475,2.1595,0.01527,0,0.000391177,0.000391177,0.000391177
29,704.533,0.86074,1.25233,1.0107,0.00733,0.65028,0.62567,0.46578,0.4929,0.37134,0.63209,0.46008,0.48811,0.35017,1.13664,2.08517,2.0608,0.01575,0,0.000388035,0.000388035,0.000388035
30,728.143,0.84779,1.21352,1.01261,0.00714,0.61964,0.53541,0.51958,0.48798,0.36014,0.55399,0.49172,0.47791,0.3432,1.15201,2.08652,2.17169,0.01548,0,0.000384894,0.000384894,0.000384894
31,752.182,0.84696,1.23941,0.98317,0.0072,0.58074,0.64001,0.42633,0.48883,0.37348,0.63263,0.4263,0.48054,0.35415,1.16203,2.07489,2.29308,0.01547,0,0.000381752,0.000381752,0.000381752
32,776.451,0.86048,1.22847,0.99515,0.00729,0.61053,0.62255,0.44143,0.47234,0.34854,0.62406,0.44096,0.47351,0.33375,1.17859,2.12242,2.18152,0.01633,0,0.00037861,0.00037861,0.00037861
33,800.627,0.85031,1.24626,0.98823,0.00734,0.61129,0.48371,0.48809,0.47948,0.34964,0.50383,0.48902,0.47917,0.34455,1.18039,2.20027,2.17609,0.01592,0,0.000375469,0.000375469,0.000375469
34,824.688,0.83155,1.18698,0.94388,0.00716,0.5941,0.62224,0.45916,0.49236,0.36931,0.56547,0.47859,0.48194,0.35158,1.12078,2.03973,2.07109,0.01511,0,0.000372327,0.000372327,0.000372327
35,848.676,0.82962,1.17306,0.942,0.00709,0.54984,0.5444,0.48119,0.48639,0.37397,0.53633,0.47806,0.47979,0.35178,1.12012,2.05168,2.0403,0.01479,0,0.000369186,0.000369186,0.000369186
36,872.729,0.8377,1.1874,0.92198,0.00693,0.55392,0.61942,0.46575,0.49735,0.39416,0.61907,0.46,0.49037,0.36779,1.10614,2.13135,2.14089,0.01479,0,0.000366044,0.000366044,0.000366044
37,896.531,0.82883,1.17913,0.89661,0.00681,0.55208,0.60909,0.45306,0.4728,0.36165,0.60585,0.45669,0.46891,0.34905,1.15833,2.14347,2.1881,0.01595,0,0.000362902,0.000362902,0.000362902
38,920.455,0.82566,1.17704,0.88781,0.00678,0.55317,0.58379,0.44548,0.47643,0.36332,0.59722,0.45554,0.48413,0.34626,1.14309,2.20145,2.15226,0.01553,0,0.000359761,0.000359761,0.000359761
39,944.367,0.82487,1.16786,0.88845,0.00678,0.5313,0.63079,0.46579,0.49665,0.38495,0.63174,0.46369,0.49344,0.3638,1.11428,2.12111,2.28946,0.015,0,0.000356619,0.000356619,0.000356619
40,968.237,0.80536,1.13742,0.86489,0.00643,0.5137,0.63562,0.44796,0.47852,0.36173,0.63887,0.44382,0.47117,0.34184,1.15889,2.13821,2.24934,0.01565,0,0.000353478,0.000353478,0.000353478
41,992.138,0.79567,1.16652,0.86947,0.00641,0.5644,0.66232,0.4318,0.49221,0.38685,0.61418,0.45179,0.48744,0.36227,1.11204,2.21137,2.17325,0.01533,0,0.000350336,0.000350336,0.000350336
42,1016.24,0.78515,1.12826,0.82582,0.00665,0.47349,0.62523,0.46805,0.48877,0.38615,0.63916,0.46275,0.48634,0.36397,1.15651,2.22954,2.45391,0.01579,0,0.000347194,0.000347194,0.000347194
43,1040.32,0.80909,1.14823,0.85806,0.00677,0.51095,0.58654,0.45364,0.48628,0.3712,0.5934,0.4526,0.48702,0.35274,1.11922,2.07983,2.2722,0.01533,0,0.000344053,0.000344053,0.000344053
44,1064.16,0.78251,1.08857,0.80291,0.00644,0.47809,0.66334,0.4905,0.52533,0.38746,0.65914,0.48806,0.52124,0.3724,1.13805,2.13596,2.14231,0.01568,0,0.000340911,0.000340911,0.000340911
45,1088.16,0.78985,1.09293,0.80213,0.00655,0.48231,0.60464,0.49449,0.50737,0.3882,0.59265,0.49472,0.50175,0.37087,1.18244,2.16018,2.21879,0.0164,0,0.00033777,0.00033777,0.00033777
46,1112.23,0.77926,1.10416,0.79483,0.00657,0.48708,0.60622,0.46431,0.51074,0.3856,0.60906,0.46311,0.50686,0.36816,1.12989,2.20479,2.19187,0.01559,0,0.000334628,0.000334628,0.000334628
47,1136.26,0.79341,1.11555,0.79276,0.0066,0.48858,0.61124,0.46706,0.48037,0.36577,0.60035,0.46245,0.47159,0.35059,1.13598,2.27616,2.23551,0.01572,0,0.000331486,0.000331486,0.000331486
48,1160.4,0.79335,1.11493,0.79987,0.0062,0.47275,0.55829,0.48759,0.49097,0.37465,0.56053,0.4815,0.49038,0.36053,1.10904,2.15076,2.32143,0.0152,0,0.000328345,0.000328345,0.000328345
49,1184.3,0.7604,1.07097,0.73581,0.00595,0.43428,0.59635,0.47926,0.49817,0.38388,0.60584,0.47929,0.49912,0.36589,1.15856,2.18423,2.17741,0.01573,0,0.000325203,0.000325203,0.000325203
50,1208.33,0.75472,1.04908,0.74641,0.0062,0.44131,0.62676,0.47633,0.52573,0.40154,0.63494,0.47532,0.51151,0.38528,1.13804,2.05278,2.11535,0.01519,0,0.000322062,0.000322062,0.000322062
51,1232.36,0.75839,1.06428,0.74698,0.00619,0.44492,0.60111,0.45683,0.4986,0.3912,0.60718,0.46167,0.50022,0.3706,1.10061,1.9934,2.16339,0.01482,0,0.00031892,0.00031892,0.00031892
52,1256.27,0.75721,1.046,0.7494,0.00613,0.45186,0.62524,0.44329,0.48374,0.37069,0.56395,0.46857,0.47867,0.35117,1.14776,2.13636,2.25955,0.01567,0,0.000315778,0.000315778,0.000315778
53,1280.39,0.74789,1.05084,0.71287,0.00595,0.42753,0.63647,0.44733,0.47448,0.37162,0.6491,0.44816,0.46892,0.348,1.10817,2.19234,2.31188,0.01509,0,0.000312637,0.000312637,0.000312637
54,1304.22,0.75341,1.04121,0.7156,0.00599,0.43799,0.63239,0.46188,0.48753,0.36818,0.62229,0.46759,0.48798,0.35691,1.15248,2.19407,2.29044,0.01578,0,0.000309495,0.000309495,0.000309495
55,1328.31,0.73683,1.01592,0.71253,0.00602,0.41418,0.61874,0.44939,0.48818,0.37826,0.62402,0.4586,0.48686,0.36618,1.1065,2.07739,2.30759,0.01467,0,0.000306354,0.000306354,0.000306354
56,1352.06,0.74268,1.03482,0.70093,0.00595,0.41327,0.58961,0.4976,0.50444,0.38321,0.58564,0.50129,0.49625,0.36318,1.11469,2.12837,2.24801,0.0151,0,0.000303212,0.000303212,0.000303212
57,1376.07,0.73939,1.03644,0.69165,0.00594,0.38755,0.61074,0.44587,0.48267,0.36589,0.61225,0.44277,0.47231,0.34907,1.1591,2.2081,2.38325,0.01612,0,0.00030007,0.00030007,0.00030007
58,1400.27,0.72917,1.01374,0.66655,0.00578,0.3935,0.63943,0.45156,0.4678,0.36753,0.64165,0.45628,0.46994,0.34944,1.12146,2.09334,2.37012,0.01542,0,0.000296929,0.000296929,0.000296929
59,1424.14,0.72215,1.02165,0.6862,0.00596,0.37564,0.66395,0.47853,0.51151,0.38973,0.65795,0.47678,0.50731,0.37341,1.12514,1.96897,2.1993,0.0152,0,0.000293787,0.000293787,0.000293787
60,1448.05,0.7294,1.01133,0.66844,0.00571,0.36953,0.60691,0.4616,0.49424,0.38459,0.60058,0.45825,0.48911,0.36471,1.11096,2.16594,2.24254,0.01529,0,0.000290646,0.000290646,0.000290646
61,1471.82,0.7269,0.99724,0.66406,0.00549,0.37897,0.64547,0.48042,0.49352,0.37401,0.6458,0.48313,0.49921,0.36453,1.15693,2.2143,2.4304,0.0157,0,0.000287504,0.000287504,0.000287504
62,1496.12,0.72103,1.01196,0.67576,0.00566,0.39731,0.53304,0.50074,0.48129,0.36985,0.53223,0.4979,0.47612,0.35905,1.11049,2.2675,2.30857,0.01516,0,0.000284362,0.000284362,0.000284362
63,1520.18,0.69655,0.97308,0.65228,0.00568,0.3797,0.58034,0.50206,0.5149,0.39993,0.57755,0.4929,0.50039,0.37451,1.12221,2.22414,2.33253,0.01513,0,0.000281221,0.000281221,0.000281221
64,1544.22,0.70727,0.99662,0.64856,0.0056,0.35982,0.58401,0.46771,0.48965,0.38603,0.57763,0.46158,0.47942,0.3647,1.15735,2.27437,2.3244,0.01571,0,0.000278079,0.000278079,0.000278079
65,1568.31,0.69597,0.97245,0.62022,0.00549,0.34784,0.58378,0.50518,0.49157,0.38225,0.67465,0.44144,0.48964,0.36521,1.14966,2.30347,2.38293,0.01563,0,0.000274938,0.000274938,0.000274938
66,29.1235,0.72497,1.01117,0.66675,0.00566,0.37901,0.59855,0.46899,0.48863,0.37904,0.59525,0.45824,0.47608,0.35532,1.11406,2.3634,2.50835,0.01497,0,0.000271796,0.000271796,0.000271796
67,54.2762,0.67514,0.93794,0.60628,0.00534,0.35168,0.59859,0.47902,0.49896,0.39891,0.60745,0.47944,0.49263,0.3737,1.11667,2.18231,2.3809,0.01475,0,0.000268654,0.000268654,0.000268654
68,78.8878,0.68559,0.93189,0.58847,0.0053,0.35051,0.55758,0.46325,0.46795,0.3678,0.55827,0.45909,0.45894,0.34898,1.15599,2.25316,2.41505,0.01545,0,0.000265513,0.000265513,0.000265513
69,103.81,0.67784,0.93579,0.60967,0.00536,0.34746,0.70716,0.40712,0.47468,0.37168,0.7007,0.40366,0.47264,0.35215,1.12235,2.29756,2.48855,0.01508,0,0.000262371,0.000262371,0.000262371
70,128.563,0.68163,0.93714,0.5917,0.00515,0.3233,0.63963,0.48105,0.50923,0.40487,0.62665,0.47561,0.49955,0.37911,1.10811,2.34887,2.38612,0.0148,0,0.00025923,0.00025923,0.00025923
71,153.195,0.65814,0.90756,0.56658,0.00505,0.31255,0.6394,0.46495,0.49725,0.39146,0.6822,0.43754,0.49041,0.36882,1.14009,2.17838,2.41177,0.01499,0,0.000256088,0.000256088,0.000256088
72,178.139,0.67094,0.91949,0.56752,0.00522,0.31428,0.65651,0.45437,0.48783,0.38446,0.65529,0.44576,0.48468,0.36764,1.14188,2.27681,2.46813,0.01516,0,0.000252946,0.000252946,0.000252946
73,203.152,0.66287,0.90868,0.56431,0.00514,0.32055,0.59891,0.49144,0.49343,0.38765,0.60287,0.48537,0.4927,0.37,1.11127,2.14659,2.46159,0.01526,0,0.000249805,0.000249805,0.000249805
74,227.824,0.65886,0.88907,0.55495,0.00506,0.30357,0.66068,0.4687,0.52418,0.40641,0.66655,0.47006,0.52287,0.38521,1.13264,2.2864,2.30537,0.01554,0,0.000246663,0.000246663,0.000246663
75,252.597,0.666,0.92588,0.55225,0.00507,0.30172,0.61999,0.47747,0.5032,0.38624,0.62403,0.47861,0.50153,0.36309,1.14177,2.18137,2.48109,0.0154,0,0.000243522,0.000243522,0.000243522
76,277.374,0.64417,0.89224,0.53259,0.00501,0.29885,0.61546,0.47287,0.49397,0.38493,0.61035,0.47168,0.4904,0.36325,1.14863,2.16945,2.42636,0.01548,0,0.00024038,0.00024038,0.00024038
77,302.188,0.65939,0.89974,0.55369,0.00507,0.29917,0.67497,0.47909,0.51881,0.39792,0.67288,0.47225,0.51129,0.37638,1.10942,2.28596,2.25425,0.01497,0,0.000237238,0.000237238,0.000237238
78,326.961,0.64776,0.88414,0.53237,0.00507,0.27404,0.65741,0.46276,0.49668,0.38989,0.65258,0.46019,0.49587,0.36263,1.13904,2.27449,2.5224,0.01532,0,0.000234097,0.000234097,0.000234097
79,351.935,0.63699,0.85855,0.5183,0.00488,0.27537,0.61103,0.44292,0.4777,0.37128,0.64418,0.43223,0.47349,0.34265,1.17423,2.27609,2.55217,0.01571,0,0.000230955,0.000230955,0.000230955
80,376.59,0.64374,0.87062,0.53668,0.00512,0.28911,0.65497,0.45701,0.50138,0.3892,0.70196,0.43683,0.50408,0.36686,1.11798,2.13094,2.39334,0.01504,0,0.000227814,0.000227814,0.000227814
81,401.564,0.64651,0.86933,0.5247,0.00491,0.28674,0.68121,0.48261,0.51563,0.40873,0.6529,0.49536,0.50984,0.39012,1.08994,2.18451,2.39885,0.01433,0,0.000224672,0.000224672,0.000224672
82,426.507,0.63678,0.85112,0.51077,0.00469,0.25992,0.6366,0.48785,0.51153,0.40316,0.71058,0.45477,0.50342,0.38242,1.11864,2.24222,2.50716,0.01529,0,0.00022153,0.00022153,0.00022153
83,451.029,0.6291,0.85002,0.49999,0.0049,0.26279,0.62056,0.4697,0.49249,0.3766,0.61722,0.46484,0.4882,0.35561,1.11924,2.299,2.54387,0.01546,0,0.000218389,0.000218389,0.000218389
84,475.621,0.63857,0.85477,0.50127,0.00476,0.26309,0.72654,0.431,0.49433,0.37461,0.7301,0.4223,0.48113,0.34725,1.1433,2.29545,2.55438,0.01572,0,0.000215247,0.000215247,0.000215247
85,500.557,0.61945,0.85744,0.50714,0.0049,0.27743,0.69287,0.48152,0.51939,0.40784,0.67453,0.48706,0.51331,0.37531,1.12371,2.27104,2.38774,0.0151,0,0.000212106,0.000212106,0.000212106
86,525.075,0.61461,0.84212,0.49733,0.00482,0.25745,0.67705,0.46845,0.51299,0.39801,0.69517,0.45238,0.50108,0.36765,1.11887,2.23805,2.49915,0.01504,0,0.000208964,0.000208964,0.000208964
87,549.84,0.61749,0.82678,0.49716,0.0047,0.24825,0.64609,0.47136,0.49707,0.3944,0.63957,0.46456,0.48537,0.36617,1.12573,2.29273,2.51269,0.01534,0,0.000205822,0.000205822,0.000205822
88,574.855,0.60415,0.83138,0.49032,0.00472,0.25662,0.64991,0.47608,0.51078,0.39644,0.64257,0.47023,0.49889,0.36816,1.13286,2.32056,2.49801,0.01551,0,0.000202681,0.000202681,0.000202681
89,599.52,0.62281,0.83917,0.48907,0.00456,0.25937,0.62959,0.51063,0.52267,0.41098,0.67082,0.48572,0.51387,0.38654,1.11917,2.28302,2.50954,0.01491,0,0.000199539,0.000199539,0.000199539
90,624.378,0.61313,0.82383,0.48139,0.00454,0.24407,0.69009,0.4605,0.49986,0.39153,0.68475,0.45109,0.48805,0.35801,1.12748,2.42414,2.55448,0.01507,0,0.000196398,0.000196398,0.000196398
91,649.134,0.6007,0.84341,0.47468,0.00456,0.24863,0.67813,0.48793,0.51855,0.40675,0.66175,0.49018,0.51276,0.37419,1.13798,2.34578,2.52348,0.01543,0,0.000193256,0.000193256,0.000193256
92,674.112,0.58678,0.83071,0.47553,0.0046,0.23899,0.66412,0.45375,0.49026,0.38439,0.6645,0.45431,0.4819,0.36095,1.1164,2.18642,2.547,0.01499,0,0.000190114,0.000190114,0.000190114
93,699.361,0.60689,0.81961,0.4638,0.00435,0.23187,0.6149,0.49135,0.5017,0.39055,0.60036,0.48006,0.4912,0.36811,1.12964,2.45719,2.50988,0.01538,0,0.000186973,0.000186973,0.000186973
94,730.733,0.58631,0.81487,0.4505,0.0043,0.22976,0.62528,0.46751,0.48846,0.3784,0.60095,0.46884,0.47639,0.36137,1.1294,2.46945,2.73635,0.01534,0,0.000183831,0.000183831,0.000183831
95,758.734,0.57858,0.78817,0.44196,0.00429,0.2393,0.61574,0.47415,0.50267,0.3937,0.61729,0.47473,0.49769,0.37309,1.10993,2.262,2.53689,0.01469,0,0.00018069,0.00018069,0.00018069
96,783.161,0.57921,0.79738,0.45499,0.00427,0.23544,0.6649,0.48327,0.50622,0.40315,0.66106,0.4803,0.50156,0.3784,1.10361,2.36264,2.50729,0.0144,0,0.000177548,0.000177548,0.000177548
97,807.452,0.58754,0.7896,0.44866,0.00426,0.22109,0.67592,0.46755,0.51022,0.39403,0.6673,0.46294,0.49937,0.37126,1.13416,2.40218,2.6827,0.01499,0,0.000174406,0.000174406,0.000174406
98,833.269,0.58968,0.81072,0.46875,0.00443,0.22786,0.69059,0.46471,0.49647,0.38864,0.67952,0.45566,0.4811,0.36317,1.12832,2.32556,2.62835,0.01498,0,0.000171265,0.000171265,0.000171265
99,857.739,0.57608,0.77118,0.43122,0.00427,0.23126,0.67437,0.4792,0.50618,0.39098,0.6613,0.46647,0.48536,0.36326,1.18471,2.60679,2.64328,0.01628,0,0.000168123,0.000168123,0.000168123
100,882.279,0.57089,0.77879,0.43903,0.00431,0.22089,0.70724,0.4501,0.4985,0.39005,0.69542,0.4446,0.48582,0.37034,1.11688,2.3722,2.70683,0.01509,0,0.000164982,0.000164982,0.000164982
101,906.763,0.57837,0.78942,0.43652,0.00415,0.20829,0.67818,0.46543,0.50543,0.40325,0.67449,0.46019,0.49654,0.37898,1.08842,2.30784,2.61822,0.01477,0,0.00016184,0.00016184,0.00016184
102,931.324,0.57105,0.76054,0.42356,0.00416,0.20917,0.67839,0.45239,0.48545,0.38762,0.66632,0.45395,0.4788,0.36163,1.13813,2.36974,2.76575,0.01536,0,0.000158698,0.000158698,0.000158698
103,956.014,0.579,0.77596,0.42128,0.00421,0.19691,0.75147,0.43862,0.49455,0.39539,0.7388,0.4349,0.48863,0.36411,1.14592,2.41351,2.74027,0.0155,0,0.000155557,0.000155557,0.000155557
104,980.469,0.57136,0.7727,0.42546,0.00405,0.20517,0.68002,0.46228,0.49925,0.40013,0.6883,0.45923,0.49561,0.36687,1.12701,2.41565,2.64113,0.01527,0,0.000152415,0.000152415,0.000152415
105,1004.59,0.56579,0.75074,0.417,0.00396,0.20306,0.65222,0.46041,0.48855,0.39053,0.654,0.45827,0.49078,0.36246,1.13968,2.42298,2.74702,0.01529,0,0.000149274,0.000149274,0.000149274
106,1029,0.56644,0.7733,0.4238,0.00401,0.22175,0.64019,0.48552,0.51026,0.40519,0.64736,0.48868,0.50803,0.38048,1.10408,2.36419,2.60685,0.01469,0,0.000146132,0.000146132,0.000146132
107,1053.86,0.54607,0.75027,0.39932,0.00407,0.19167,0.65415,0.48362,0.49884,0.39126,0.66262,0.47365,0.49417,0.36205,1.12828,2.34236,2.70705,0.01539,0,0.00014299,0.00014299,0.00014299
108,1078.51,0.55582,0.77026,0.42081,0.00405,0.19724,0.68938,0.47514,0.49133,0.39218,0.68936,0.47209,0.48608,0.36287,1.13798,2.29603,2.63185,0.01519,0,0.000139849,0.000139849,0.000139849
109,1102.74,0.54251,0.72775,0.39725,0.00383,0.1974,0.62241,0.46543,0.47647,0.37538,0.61529,0.46185,0.47339,0.35478,1.12787,2.40026,2.83627,0.01521,0,0.000136707,0.000136707,0.000136707
110,1127.09,0.5544,0.73403,0.40645,0.00399,0.19458,0.68521,0.46948,0.50395,0.39684,0.66814,0.45895,0.49406,0.36986,1.1107,2.41257,2.70259,0.01481,0,0.000133566,0.000133566,0.000133566
111,1151.65,0.53724,0.7419,0.40472,0.00395,0.20187,0.65246,0.47699,0.49615,0.39583,0.65554,0.47328,0.4981,0.37,1.1234,2.35572,2.75989,0.01505,0,0.000130424,0.000130424,0.000130424
