epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2009,1.05896,2.61087,4.19815,0.00933,6.43104,0.27336,0.17903,0.12582,0.10137,0.33253,0.17152,0.12373,0.09102,0.92809,2.09694,4.31471,0.0121,0,0.000156148,0.000156148,0.000156148
2,54.4781,0.97646,1.89994,2.90123,0.00899,3.95868,0.34561,0.31194,0.28297,0.20435,0.34916,0.32014,0.28282,0.18211,1.1019,2.15851,3.15226,0.01534,0,0.000312737,0.000312737,0.000312737
3,78.6864,1.04781,1.84139,2.3517,0.00964,3.39259,0.34396,0.36754,0.32105,0.23707,0.35391,0.33093,0.31707,0.22505,1.1149,2.19834,2.86344,0.01522,0,0.000467232,0.000467232,0.000467232
4,103.666,1.07092,1.83494,2.14543,0.01032,3.15338,0.43547,0.38799,0.36504,0.25324,0.43167,0.39746,0.36881,0.25392,1.21234,2.19707,2.62705,0.01733,0,0.000466575,0.000466575,0.000466575
5,127.922,1.08065,1.82256,1.98878,0.00996,2.72358,0.48096,0.39349,0.38184,0.26809,0.48676,0.4012,0.38126,0.25613,1.14924,2.23372,2.41567,0.01626,0,0.000463434,0.000463434,0.000463434
6,151.71,1.02805,1.70219,1.82027,0.00956,2.21753,0.40284,0.40447,0.36696,0.26949,0.36792,0.40365,0.3603,0.25414,1.14047,2.2297,2.35343,0.01559,0,0.000460292,0.000460292,0.000460292
7,178.133,1.05069,1.72217,1.77909,0.00985,1.77518,0.49754,0.42329,0.40929,0.29436,0.4959,0.42594,0.4054,0.28368,1.15748,2.04235,2.34093,0.01584,0,0.00045715,0.00045715,0.00045715
8,202.003,1.02004,1.65271,1.71725,0.00943,1.39469,0.53208,0.4301,0.44438,0.31482,0.54476,0.43766,0.45196,0.30576,1.15815,2.05405,2.2764,0.01604,0,0.000454009,0.000454009,0.000454009
9,225.722,1.0119,1.6281,1.6474,0.00927,1.2079,0.52665,0.43063,0.42262,0.32037,0.52465,0.42312,0.41699,0.30726,1.12432,1.98665,2.27211,0.01521,0,0.000450867,0.000450867,0.000450867
10,249.717,1.00976,1.64421,1.618,0.00917,1.09244,0.53559,0.45199,0.4661,0.33692,0.53859,0.44149,0.45698,0.32146,1.19111,2.0577,2.17355,0.0165,0,0.000447726,0.000447726,0.000447726
11,273.633,0.99536,1.59414,1.54709,0.00915,1.07254,0.55916,0.38877,0.42562,0.31235,0.57293,0.39028,0.42994,0.30461,1.12909,2.1517,2.20318,0.01564,0,0.000444584,0.000444584,0.000444584
12,297.208,0.99527,1.57551,1.52246,0.009,1.02421,0.49526,0.43318,0.43168,0.31677,0.52444,0.41257,0.43201,0.30394,1.13795,2.02663,2.28181,0.01596,0,0.000441442,0.000441442,0.000441442
13,321.961,0.97927,1.55647,1.46376,0.00889,0.95995,0.49765,0.40041,0.40025,0.28374,0.50844,0.39894,0.40325,0.27311,1.11999,2.18561,2.37594,0.01538,0,0.000438301,0.000438301,0.000438301
14,347,0.97132,1.50681,1.40778,0.00873,0.93489,0.47331,0.47281,0.45867,0.34554,0.4699,0.467,0.45533,0.32592,1.14979,2.08143,2.20169,0.01555,0,0.000435159,0.000435159,0.000435159
15,371.297,0.95851,1.48552,1.40487,0.00872,0.91032,0.56889,0.43584,0.45852,0.3322,0.56104,0.43004,0.44952,0.31347,1.14921,2.12552,2.2054,0.01579,0,0.000432018,0.000432018,0.000432018
16,396.179,0.96332,1.48172,1.35359,0.00845,0.90468,0.64842,0.41668,0.47342,0.35535,0.65305,0.41989,0.47369,0.334,1.14168,2.14496,2.16919,0.01556,0,0.000428876,0.000428876,0.000428876
17,419.965,0.94183,1.43826,1.33571,0.00816,0.85752,0.54093,0.44358,0.46712,0.34374,0.55421,0.43865,0.47273,0.32663,1.15386,2.10369,2.04835,0.01593,0,0.000425734,0.000425734,0.000425734
18,443.594,0.92828,1.40618,1.25591,0.00823,0.80973,0.56955,0.45697,0.48871,0.37148,0.57505,0.45681,0.48692,0.34629,1.15671,2.00076,2.02225,0.01536,0,0.000422593,0.000422593,0.000422593
19,467.435,0.9364,1.39858,1.22428,0.00812,0.80395,0.53296,0.45328,0.45469,0.35039,0.52818,0.4457,0.44874,0.33475,1.11737,2.08925,2.15561,0.01447,0,0.000419451,0.000419451,0.000419451
20,491.018,0.92445,1.38018,1.23762,0.0085,0.83078,0.56255,0.442,0.45677,0.3593,0.5455,0.44358,0.45213,0.33557,1.13856,2.05637,2.19798,0.01489,0,0.00041631,0.00041631,0.00041631
